Activity/Todo,Category,Image link,Map link,Description
Ayutthaya Historical Park bangkok,to_do_before_you_die,https://www.renown-travel.com/images/ayutthaya-historical-park-l.jpg,"14.3505156, 100.5569549","DescriptionAyutthaya Historical Park covers the ruins of the old city of Ayutthaya, Phra Nakhon Si Ayutthaya Province, Thailand. The city of Ayutthaya was founded by King Ramathibodi I in 1351. The city was captured by the Burmese in 1569. Though not pillaged, it lost ""many valuable and artistic objects."
Chatuchak Day Market,exploration,http://www.travelordietrying.com/wp-content/uploads/2019/10/Chatuchak-1-1160x774.jpeg,"13.799387, 100.5487751",Day time market to visit in the daytime
JJ Market bangkok,exploration,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2016/08/dsc00770.jpg,"13.799387, 100.5487751",Weekend market: https://theculturetrip.com/asia/thailand/articles/a-guide-to-chatuchak-weekend-market/
Artbox bangkok,hangout,https://aroimakmak.com/wp-content/uploads/2015/12/artboxtheemdistrict01.jpg,"13.7390548, 100.5572793",Trendy night market in bangkok
Chinatown bangkok,food,https://upload.wikimedia.org/wikipedia/commons/6/64/Yaowarat_at_night_%2832455695783%29.jpg,"13.7413585, 100.508018",Great place to get food
Thipsamai,food,https://cdn.tasteatlas.com/images/restaurants/a75817319197486eac0df538865a0ac7.jpg?w=600&h=450,"13.7528325, 100.5047875","Looking for best, unique and authentic Padthai. Thipsamai restaurant is your choice. We serve many different kimds of Padthai with our own secret sauce."
Tom Yum Goong bangkok,food,,"13.7608485, 100.4985342",
Ran Jay Fai,food,,"13.7525661, 100.5048034",
Giant Swing bangkok,photo_op,https://cdn.theculturetrip.com/wp-content/uploads/2017/02/giant-swing-1545371_1920.jpg,"13.7518076, 100.5012838",Photo op
KAIZEN bangkok,food,,"13.7397817, 100.589535",
Unbranded Cafe bangkok,food,,"13.756259, 100.498764",
Grand Palace Bangkok,photo_op,http://static.asiawebdirect.com/m/.imaging/1140x760/website/bangkok/portals/bangkok-com/homepage/attraction-palace/grand-palace/pagePropertiesImage.jpg,"13.7500943, 100.491304","Bangkok's famous palace complex was built in 1782 and features several magnificent buildings including Wat Phra Kaeo (Temple of the Emerald Buddha), which contains a beautiful Emerald Buddha that dates back to the 14th century.

Opening Hours: Daily from 8.30 am to 3.30 pm"
Lumpini Park bangkok,exploration,http://static.asiawebdirect.com/m/.imaging/1140x760/website/bangkok/portals/bangkok-com/homepage/sport-parks---activities/lumpini-park/pagePropertiesImage.jpg,"13.7314029, 100.5414396","Lumphini Park is a 360 rai park in Bangkok, Thailand. The park offers rare open public space, trees, and playgrounds in the Thai capital and contains an artificial lake where visitors can rent boats."
Khao San Road bangkok,exploration,http://static.asiawebdirect.com/m/bangkok/portals/bangkok-com/homepage/area-khao-san-road/pagePropertiesImage/khao-san-road.jpg.jpg,"13.7588465, 100.4973573","Khaosan Road or Khao San Road is a short street in central Bangkok, Thailand constructed in 1892 during the reign of Rama V. It is in the Banglamphu area of about 1 kilometre north of the Grand Palace and Wat Phra Kaew. Also known as the backpacker's party road."
Rajadamnern Boxing Stadium,partying,http://4.bp.blogspot.com/-l_hOW-dxlQs/VF3G4A5QaoI/AAAAAAAAo_k/bFFsCkjU2x4/s1600/Rajadamnern-Stadium.jpg,"13.7611978, 100.5088608","Khao San Road’s reputation as the ultimate backpacker party hub is known across Southeast Asia. Budget guesthouses, internet cafes, bars, restaurants, massage parlors, travel agents, bookshops, market stalls, tattoo shops and hawkers line the 1-km stretch of mayhem while eating, drinking and dancing in the street is encouraged.

Though not much has changed here in years, the iconic road is slowly starting to draw in more of a young local crowd who aren’t scared away by the sea of sweaty travelers downing buckets and screaming along to Wonderwall by Oasis. The ingeniously named The Club is the go-to spot around midnight for real dance music and there’s also the much smaller but equally fun Lava Gold up the road. Brick Bar (at Buddy Shopping Plaza, next to McDonald's) is where the locals go; the main draw here is the brilliant live band who play fun Thai pop, ska, reggae and western covers. There are a thousand other street-side bars to choose from, and its best to just turn up and see which one takes your pick.

The crowd: Backpackers, gap year students, a few families looking a bit bewildered, and an ever-growing number of young Thais. As for what to wear – whatever’s in your suitcase that is passable for clean.
"
Royal City Avenue,to_do_before_you_die,http://static.asiawebdirect.com/m/.imaging/724x482/website/bangkok/portals/bangkok-com/homepage/magazine/route66/allParagraphs/BucketComponent/ListingContainer/01/image.jpg,"13.7470148, 100.5795725","Royal City Avenue or RCA is one of Bangkok's largest entertainment and clubbing area. Located on in Huai Khwang district, RCA is a long street located between Rama IX Road and Phetchaburi Road."
Thonglor Soi 10,partying,http://static.asiawebdirect.com/m/.imaging/1140x760/website/bangkok/portals/bangkok-com/homepage/magazine/octave-rooftop-bar/pagePropertiesImage.jpg,"13.732, 100.583325","Octave Rooftop and Lounge is more than a place for watching the sunset or having a romantic meal. No rooftop bar in the city has a 360 degree view of Bangkok that matches this, and the top floor of this three level venue is the highest spot in the city for a party. Dress to impress!"
Sukhumvit Soi 11,partying,http://static.asiawebdirect.com/m/bangkok/portals/bangkok-com/homepage/magazine/do-not-disturb-club/allParagraphs/BucketComponent/ListingContainer/02/BucketList/00/image1/10562501_1580340985520753_7063594235109594628_o.jpg,"13.7442636, 100.5567553","The sun falls quickly on Bangkok and when it does, Sukhumvit Soi 11 becomes a beacon for tourists, expats and an increasing number of locals attracted by its many bars, restaurants and clubs lining either side of the street. The crowd: A good mix of expats and tourists of all ages means Soi 11 isn’t really reserved for any group in particular. Most of the bars here couldn’t care less what you’re wearing, but it’s best to play it safe and go smart casual (such as no shorts or flip-flops).

Oskar Bistro and Marshmallow Kitchen & Bar provide more of a sophisticated ambience. To get a better perspective on things, head up to the top floor of Le Fenix Hotel and lounge about on the bed-style sofas at Nest, or better yet try the gorgeous Above Eleven rooftop bar on the 38th floor of Fraser Suites. To end the night, the go-to club is Levels Club, which plays commercial dance and hip hop with free entry and drinks for ladies. 

"
Silom Road,partying,http://static.asiawebdirect.com/m/.imaging/1140x760/website/bangkok/portals/bangkok-com/homepage/magazine/sky-bar/pagePropertiesImage.jpg,"13.7258011, 100.5267934","Silom has many nightlife options to discover. Thailand's 'Wall Street' is by day a place of financial institutions, law firms and multinational corporations. By night however, Silom slips out of its suit, transforming into a bustling shopping street and frenetically paced hedonist's playground. Gay friendly!"
Damnoen Saduak bangkok,exploration,http://static.asiawebdirect.com/m/.imaging/1140x760/website/bangkok/portals/bangkok-com/homepage/product-reviews/floating-market-and-river-kwai-tour/pagePropertiesImage.jpg,"13.7510214, 100.5630833","Well on the tourist trail after the Bond films, the trip to the famous floating market at Damnoen Saduak is still worth doing. Totally chaotic, small 'klongs' or canals are filled with small flat boats jockeying for position, expertly paddled by mature ladies ready to stop and bargain at a moment's notice."
Onyx Bangkok,partying,https://a.cdn-hotels.com/gdcs/production9/d1213/9e1df97e-5779-48d9-b1fb-70fd38c2326c.jpg,"13.7519737, 100.5750013",Popular asian club with EDM. https://www.tripadvisor.com/Attraction_Review-g293916-d8337967-Reviews-Club_Onyx-Bangkok.html
Route66 Club bangkok,partying,,"13.7515699, 100.5752327","Find the epicenter of the party at Route66 Club, a huge club spread across various zones dedicated to hip hop, EDM and live Thai music. Weekends and holidays see the club reach bursting point after midnight, with the overspill contained in a cordoned off zone outside – complete with extra chairs, tables and speakers blasting out the music to create a street-party kind of vibe."
Brick Bar bangkok,partying,,"13.758648, 100.498587","(at Buddy Shopping Plaza, next to McDonald's) is where the locals go; the main draw here is the brilliant live band who play fun Thai pop, ska, reggae and western covers. There are a thousand other street-side bars to choose from, and its best to just turn up and see which one takes your pick."
The Club bangkok,partying,,"13.7591935, 100.496736",the go-to spot around midnight for real dance music
Lava Gold bangkok,partying,,"13.7590714, 100.4974053",smaller but equally fun club
Nest bangkok,partying,,"13.7450096, 100.5560844",lounge about on the bed-style sofas
Levels Club bangkok,partying,,"13.744354, 100.556519",Great place to end the night which plays commercial dance and hip hop with free entry and drinks for ladies.
Above Eleven bangkok,partying,,"13.7457152, 100.5563017",Gorgeous rooftop bar on the 38th floor of Fraser Suites
Funky Villa bangkok,partying,,"13.7324473, 100.5852158","Next to Demo, is a kind of 2-in-1 club, allowing you to switch between the live Thai bands and techno/house in each venue"
DND bangkok,partying,,"13.7319184, 100.5861325",Dedicated mostly to EDM
Wat Arun bangkok,photo_op,http://www.travelordietrying.com/wp-content/uploads/2019/10/Wat-Arun.jpg,"13.7437, 100.4889265","Wat Arun, locally known as Wat Chaeng, is a landmark temple on the west (Thonburi) bank of the Chao Phraya river. It’s easily one of the most stunning temples in Bangkok, not only because of its riverside location but also because the design is very different from the other temples you can visit in Bangkok. Wat Arun (nicknamed the Temple of the Dawn) is partly made up of colorfully decorated spires and stands majestically over the water. Beautiful sunset."
Wat Pho bangkok,photo_op,http://www.travelordietrying.com/wp-content/uploads/2019/10/01-visiting-wat-pho-1160x773.jpg,"13.7465718, 100.4933053",10 minutes away from the golden palace.
